model,trim,engine,category,part_number,normalized_part_number,description,detail,evidence_url
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184103AI,5184103AI,Crankshaft Upper Bearing,![Image 50: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** +.0072mm. See Note. Class 1. | MSRP  $37.05 | $24.20,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184104AI,5184104AI,Crankshaft Upper Bearing,![Image 52: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** +.0036mm. See Note. Class 2. | MSRP  $36.80 | $24.04,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184105AI,5184105AI,Crankshaft Upper Bearing,![Image 68: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** Standard. See Note. Class 3. | MSRP  $47.65 | $31.24,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184106AI,5184106AI,Crankshaft Upper Bearing,![Image 54: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** -.0036mm. See Note. Class 4. | MSRP  $35.30 | $23.05,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184107AI,5184107AI,Crankshaft Upper Bearing,![Image 48: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** -.0072mm. See Note. Class 5. | MSRP  $34.40 | $22.44,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184129AH,5184129AH,Thrust Bearing,![Image 74: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $13.75 | $8.97 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184251AI,5184251AI,Crankshaft,"![Image 72: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | MSRP  $1,285.00 | $845.90 | +",https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,5184293AH,5184293AH,Crankshaft Damper,![Image 64: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $410.00 | $270.60 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,6503465,6503465,Hex Head Lock Bolt Mounting Automatic Transmission,![Image 86: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. **Transmissions:** 8-SPD AUTO 845RE TRANS (MAKE). | *Description:** Torque Converter Drive Plate To Cylinder Block. [m6x1.00x90.00]. Mega Cab. M10x1.00x18.00. Quad Cab. Regular Cab. Plate To Crankshaft. | MSRP  $8.55 | $5.61,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Crankshaft Piston Drive Plate Flywheel And Damper,6509210AA,6509210AA,Hex Head Bolt And Coned Washer Mounting Lower,![Image 80: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $5.20 | $3.36 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--crankshaft-piston-drive-plate-flywheel-and-damper
