model,trim,slug,category,category_slug,source_url,part_number,normalized_part_number,description,detail,product_url
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85PDNAM,1MZ85PDNAM,2014 2021 Mopar Front Door Exterior Handle Left,![Image 83: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $205.00 | $134.20 | +,https://www.moparamerica.com/oem-parts/mopar-2014-2021-mopar-front-door-exterior-handle-left-1mz85pdnam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84MGMAM,1MZ84MGMAM,Front Door Exterior Handle Right,![Image 85: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | 1,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-right-1mz84mgmam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85JRYAM,1MZ85JRYAM,Front Door Exterior Handle Left,![Image 87: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85jryam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84KARAM,1MZ84KARAM,2011 2021 Mopar Front Door Exterior Handle Right,![Image 89: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $183.00 | $119.90,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-right-1mz84karam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85NRVAM,1MZ85NRVAM,2020 2021 Dodge Challenger Front Door Exterior Handle Left,![Image 91: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $222.00 | $145.20 | +,https://www.moparamerica.com/oem-parts/mopar-2020-2021-dodge-challenger-front-door-exterior-handle-left-1mz85nrvam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85KARAM,1MZ85KARAM,2011 2021 Mopar Front Door Exterior Handle Left,![Image 93: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $186.00 | $122.10,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-left-1mz85karam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85MGMAJ,1MZ85MGMAJ,Front Door Exterior Handle Left,![Image 95: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | MSRP  $217.00 | $141.90 | +,https://www.moparamerica.com/oem-parts/mopar-front-door-exterior-handle-left-1mz85mgmaj
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ84DX8AM,1MZ84DX8AM,2013 2021 Mopar Front Door Exterior Handle Right,![Image 97: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $218.00 | $143.00,https://www.moparamerica.com/oem-parts/mopar-2013-2021-mopar-front-door-exterior-handle-right-1mz84dx8am
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85JSCAM,1MZ85JSCAM,2011 2021 Mopar Front Door Exterior Handle Left,![Image 99: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $195.00 | $127.60,https://www.moparamerica.com/oem-parts/mopar-2011-2021-mopar-front-door-exterior-handle-left-1mz85jscam
Challenger,SXT 3.6L,v-2017-dodge-challenger--sxt--3-6l-v6-gas,front-door,doors-door-mirrors-and-related-parts--front-door,https://www.moparamerica.com/v-2017-dodge-challenger--sxt--3-6l-v6-gas/doors-door-mirrors-and-related-parts--front-door,1MZ85KBXAM,1MZ85KBXAM,2013 2018 Mopar Front Door Exterior Handle Left,![Image 101: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Description:** FRONT DOOR EXTERIOR | MSRP  $215.00 | $140.80,https://www.moparamerica.com/oem-parts/mopar-2013-2018-mopar-front-door-exterior-handle-left-1mz85kbxam
