vin,vehicle,category,normalized_part_number,catalog_part_numbers,descriptions,assemblies,part_urls,source_urls,illustration_files
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,6MK181X9AD,6MK181X9AD,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-driver-air-bag-6mk181x9ad,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,front-seat-adjusters,1UV50DX9AA,1UV50DX9AA,Rear | Track Cover,1:Hex Head Screw | 2:Airbag Chute | 3:Hex Head Screw,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv50dx9aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-02.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,front-seat-adjusters,1UV50DX9AA,1UV50DX9AA,Cover | Track Cover,1:Seat Bolt | 2:Seat Back Blower | 3:Seat Bolt,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv50dx9aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2 | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-02.png | evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,front-seat-adjusters,1UV50LC5AA,1UV50LC5AA,"Rear | Track Cover, Rear",1:Hex Head Screw | 2:Airbag Chute,https://www.moparamerica.com/oem-parts/mopar-track-cover-rear-1uv50lc5aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,front-seat-adjusters,1UV51DX9AA,1UV51DX9AA,Front | Track Cover,1:Hex Head Screw | 2:Airbag Chute | 3:Hex Head Screw,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv51dx9aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-02.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,front-seat-adjusters,1UV51DX9AA,1UV51DX9AA,Cover | Track Cover,1:Seat Bolt | 2:Seat Back Blower | 3:Seat Bolt,https://www.moparamerica.com/oem-parts/mopar-track-cover-1uv51dx9aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2 | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-02.png | evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,front-seat-adjusters,1UV51LC5AA,1UV51LC5AA,"Front | Track Cover, Front",1:Hex Head Screw | 2:Airbag Chute,https://www.moparamerica.com/oem-parts/mopar-track-cover-front-1uv51lc5aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=2,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-02.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,front-seat-adjusters,1UV72DX9AA,1UV72DX9AA,Handle | Recliner Handle,3:Hex Head Screw,https://www.moparamerica.com/oem-parts/mopar-recliner-handle-1uv72dx9aa,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/front-seat-adjusters__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,front-seat-adjusters,1UV72DX9AA,1UV72DX9AA,Handle | Recliner Handle,1:Seat Bolt | 3:Seat Bolt,https://www.moparamerica.com/oem-parts/mopar-recliner-handle-1uv72dx9aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1 | https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=3,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png | evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-03.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,front-seat-adjusters,1UV73DX9AA,1UV73DX9AA,Handle | Recliner Handle,1:Seat Bolt,https://www.moparamerica.com/oem-parts/mopar-recliner-handle-1uv73dx9aa,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/interior-trim--front-seats-adjusters-recliners-shields-and-risers?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/front-seat-adjusters__assembly-01.png
